danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name_song,artists,genre
0.489,0.619,0,-6.713,0,0.0422,0.419,0,0.142,0.413,119.133,196500,3,No Time Like Christmas,Chris Brown,"['r&b', 'rap']"
0.463,0.596,6,-8.609,1,0.134,0.0358,0,0.107,0.289,84.281,311387,4,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),Chris Brown,"['r&b', 'rap']"
0.654,0.615,10,-8.157,1,0.0758,0.0311,0.00125,0.191,0.307,148.005,263680,4,C.A.B. (Catch A Body) (feat. Fivio Foreign),Chris Brown,"['r&b', 'rap']"
0.575,0.633,4,-7.636,0,0.22,0.017,0,0.342,0.178,90.255,174000,4,Pitch Black,Chris Brown,"['r&b', 'rap']"
0.704,0.399,9,-9.447,1,0.25,0.0134,0.00017,0.111,0.238,91.858,233747,4,Possessive (feat. Lil Wayne & BLEU),Chris Brown,"['r&b', 'rap']"
0.637,0.533,5,-9.04,0,0.157,0.00861,0,0.104,0.389,85.028,218267,4,Addicted (feat. Lil Baby),Chris Brown,"['r&b', 'rap']"
0.732,0.635,4,-7.191,0,0.178,0.106,1.52E-05,0.0977,0.795,171.88,146840,4,Call Me Every Day (feat. Wizkid),Chris Brown,"['r&b', 'rap']"
0.605,0.707,9,-7.734,0,0.046,0.0484,0.000122,0.122,0.6,113.772,183133,5,Closure (feat. H.E.R.),Chris Brown,"['r&b', 'rap']"
0.68,0.521,9,-8.59,1,0.0572,0.0363,0,0.131,0.115,91.851,191160,4,Need You Right Here (feat. Bryson Tiller),Chris Brown,"['r&b', 'rap']"
0.611,0.728,10,-6.904,1,0.0429,0.00707,0.00394,0.0902,0.722,159.982,211880,4,Sex Memories (feat. Ella Mai),Chris Brown,"['r&b', 'rap']"
0.708,0.629,5,-6.698,0,0.0918,0.0129,0,0.145,0.348,119.924,204533,5,Hmhmm (feat. EST Gee),Chris Brown,"['r&b', 'rap']"
0.751,0.583,1,-7.41,1,0.0529,0.0391,0,0.116,0.476,96.52,220760,4,Psychic,Chris Brown,"['r&b', 'rap']"
0.417,0.66,5,-7.292,1,0.242,0.00928,2.83E-06,0.1,0.415,95.941,190413,4,Show It (feat. Blxst),Chris Brown,"['r&b', 'rap']"
0.591,0.418,6,-10.513,0,0.106,0.388,0,0.0781,0.498,112.197,219587,3,Sleep At Night,Chris Brown,"['r&b', 'rap']"
0.734,0.629,9,-7.597,0,0.055,0.0643,0,0.121,0.217,99.042,204667,4,Passing Time,Chris Brown,"['r&b', 'rap']"
0.695,0.603,1,-6.547,1,0.105,0.103,0,0.0843,0.904,86.988,234947,4,WE (Warm Embrace),Chris Brown,"['r&b', 'rap']"
0.757,0.773,2,-5.505,1,0.0571,0.0564,0.000168,0.146,0.704,113.039,218053,4,Forbidden,Chris Brown,"['r&b', 'rap']"
0.765,0.674,0,-7.009,1,0.125,0.00942,0,0.189,0.505,91.538,180787,4,Bad Then A Beach (feat. Tory Lanez),Chris Brown,"['r&b', 'rap']"
0.717,0.645,4,-7.231,0,0.0436,0.00823,0.000324,0.233,0.483,139.846,187680,4,Survive The Night,Chris Brown,"['r&b', 'rap']"
0.463,0.596,6,-8.609,1,0.134,0.0358,0,0.107,0.289,84.281,311387,4,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),Chris Brown,"['r&b', 'rap']"
0.654,0.615,10,-8.157,1,0.0758,0.0311,0.00125,0.191,0.307,148.005,263680,4,C.A.B. (Catch A Body) (feat. Fivio Foreign),Chris Brown,"['r&b', 'rap']"
0.575,0.633,4,-7.636,0,0.22,0.017,0,0.342,0.178,90.255,174000,4,Pitch Black,Chris Brown,"['r&b', 'rap']"
0.704,0.399,9,-9.447,1,0.25,0.0134,0.00017,0.111,0.238,91.858,233747,4,Possessive (feat. Lil Wayne & BLEU),Chris Brown,"['r&b', 'rap']"
0.637,0.533,5,-9.04,0,0.157,0.00861,0,0.104,0.389,85.028,218267,4,Addicted (feat. Lil Baby),Chris Brown,"['r&b', 'rap']"
0.732,0.635,4,-7.191,0,0.178,0.106,1.52E-05,0.0977,0.795,171.88,146840,4,Call Me Every Day (feat. Wizkid),Chris Brown,"['r&b', 'rap']"
0.605,0.707,9,-7.734,0,0.046,0.0484,0.000122,0.122,0.6,113.772,183133,5,Closure (feat. H.E.R.),Chris Brown,"['r&b', 'rap']"
0.68,0.521,9,-8.59,1,0.0572,0.0363,0,0.131,0.115,91.851,191160,4,Need You Right Here (feat. Bryson Tiller),Chris Brown,"['r&b', 'rap']"
0.611,0.728,10,-6.904,1,0.0429,0.00707,0.00394,0.0902,0.722,159.982,211880,4,Sex Memories (feat. Ella Mai),Chris Brown,"['r&b', 'rap']"
0.708,0.629,5,-6.698,0,0.0918,0.0129,0,0.145,0.348,119.924,204533,5,Hmhmm (feat. EST Gee),Chris Brown,"['r&b', 'rap']"
0.751,0.583,1,-7.41,1,0.0529,0.0391,0,0.116,0.476,96.52,220760,4,Psychic,Chris Brown,"['r&b', 'rap']"
0.417,0.66,5,-7.292,1,0.242,0.00928,2.83E-06,0.1,0.415,95.941,190413,4,Show It (feat. Blxst),Chris Brown,"['r&b', 'rap']"
0.591,0.418,6,-10.513,0,0.106,0.388,0,0.0781,0.498,112.197,219587,3,Sleep At Night,Chris Brown,"['r&b', 'rap']"
0.734,0.629,9,-7.597,0,0.055,0.0643,0,0.121,0.217,99.042,204667,4,Passing Time,Chris Brown,"['r&b', 'rap']"
0.695,0.603,1,-6.547,1,0.105,0.103,0,0.0843,0.904,86.988,234947,4,WE (Warm Embrace),Chris Brown,"['r&b', 'rap']"
0.757,0.773,2,-5.505,1,0.0571,0.0564,0.000168,0.146,0.704,113.039,218053,4,Forbidden,Chris Brown,"['r&b', 'rap']"
0.765,0.674,0,-7.009,1,0.125,0.00942,0,0.189,0.505,91.538,180787,4,Bad Then A Beach (feat. Tory Lanez),Chris Brown,"['r&b', 'rap']"
0.717,0.645,4,-7.231,0,0.0436,0.00823,0.000324,0.233,0.483,139.846,187680,4,Survive The Night,Chris Brown,"['r&b', 'rap']"
0.507,0.433,1,-8.972,1,0.0671,0.144,1.86E-06,0.164,0.189,92.738,190440,4,Dream,Chris Brown,"['r&b', 'rap']"
0.513,0.773,8,-6.136,1,0.0916,0.00694,0,0.119,0.885,169.936,153893,4,Slide,Chris Brown,"['r&b', 'rap']"
0.353,0.598,3,-8.615,0,0.221,0.0359,0,0.107,0.268,76.855,311387,3,Till The Wheels Fall Off (feat. Lil Durk & Capella Grey),Chris Brown,"['r&b', 'rap']"
0.655,0.61,10,-8.157,1,0.0759,0.0313,0.00108,0.191,0.3,147.994,263680,4,C.A.B. (Catch A Body) (feat. Fivio Foreign),Chris Brown,"['r&b', 'rap']"
0.451,0.639,4,-7.61,0,0.254,0.0156,0,0.346,0.163,88.394,174000,4,Pitch Black,Chris Brown,"['r&b', 'rap']"
0.734,0.398,9,-9.453,1,0.243,0.0136,0.000158,0.111,0.243,91.941,233747,4,Possessive (feat. Lil Wayne & BLEU),Chris Brown,"['r&b', 'rap']"
0.654,0.532,5,-9.07,0,0.143,0.00892,0,0.104,0.389,85.016,218267,4,Addicted (feat. Lil Baby),Chris Brown,"['r&b', 'rap']"
0.73,0.634,4,-7.191,0,0.181,0.107,1.44E-05,0.0976,0.798,171.874,146840,4,Call Me Every Day (feat. Wizkid),Chris Brown,"['r&b', 'rap']"
0.608,0.709,9,-7.725,0,0.0459,0.0456,0.000119,0.12,0.596,113.789,183133,5,Closure (feat. H.E.R.),Chris Brown,"['r&b', 'rap']"
0.654,0.519,2,-8.593,1,0.057,0.04,0,0.133,0.119,91.938,191160,4,Need You Right Here (feat. Bryson Tiller),Chris Brown,"['r&b', 'rap']"
0.632,0.73,10,-6.905,1,0.0493,0.00728,0.00423,0.0903,0.701,79.929,211880,4,Sex Memories (feat. Ella Mai),Chris Brown,"['r&b', 'rap']"
0.503,0.63,5,-6.698,0,0.171,0.0126,0,0.148,0.326,120.002,204533,5,Hmhmm (feat. EST Gee),Chris Brown,"['r&b', 'rap']"
0.739,0.58,1,-7.414,1,0.0637,0.0395,0,0.114,0.452,96.501,220760,4,Psychic,Chris Brown,"['r&b', 'rap']"
0.465,0.66,5,-7.296,1,0.219,0.00971,2.90E-06,0.1,0.39,96.841,190413,4,Show It (feat. Blxst),Chris Brown,"['r&b', 'rap']"
0.579,0.418,6,-10.511,0,0.0969,0.394,0,0.0783,0.497,111.845,219587,3,Sleep At Night,Chris Brown,"['r&b', 'rap']"
0.732,0.629,9,-7.58,0,0.0551,0.0647,0,0.12,0.217,99.038,204667,4,Passing Time,Chris Brown,"['r&b', 'rap']"
0.695,0.603,1,-6.543,1,0.104,0.0992,0,0.084,0.9,86.987,234947,4,WE (Warm Embrace),Chris Brown,"['r&b', 'rap']"
