Column1,Column2
Starboy,The Weeknd
See You Again (feat. Kali Uchis),"Tyler, The Creator"
Sweater Weather,The Neighbourhood
Another Love,Tom Odell
Locked out of Heaven,Bruno Mars
Lover,Taylor Swift
No Role Modelz,J. Cole
Pink + White,Frank Ocean
lovely (with Khalid),Billie Eilish
Someone You Loved,Lewis Capaldi
Believer,Imagine Dragons
Why'd You Only Call Me When You're High?,Arctic Monkeys
Perfect,Ed Sheeran
When I Was Your Man,Bruno Mars
Watermelon Sugar,Harry Styles
Sure Thing,Miguel
One Dance,Drake
Do I Wanna Know?,Arctic Monkeys
That's What I Like,Bruno Mars
Circles,Post Malone
Night Changes,One Direction
Shape of You,Ed Sheeran
The Hills,The Weeknd
Wake Me Up,Avicii
Thunder,Imagine Dragons
Counting Stars,OneRepublic
Stressed Out,Twenty One Pilots
There's Nothing Holdin' Me Back,Shawn Mendes
A Sky Full of Stars,Coldplay
Young And Beautiful,Lana Del Rey
One Kiss (with Dua Lipa),Calvin Harris
Let Me Down Slowly,Alec Benjamin
Call Out My Name,The Weeknd
The Nights,Avicii
Passionfruit,Drake
The Less I Know The Better,Tame Impala
Daddy Issues,The Neighbourhood
Treat You Better,Shawn Mendes
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone
Too Good At Goodbyes,Sam Smith
Photograph,Ed Sheeran
All of Me,John Legend
goosebumps,Travis Scott
everything i wanted,Billie Eilish
God's Plan,Drake
I'm Not The Only One,Sam Smith
Closer,The Chainsmokers
Memories,Maroon 5
LA CANCI?N,J Balvin
Unforgettable,French Montana
SICKO MODE,Travis Scott
Before You Go,Lewis Capaldi
Just the Way You Are,Bruno Mars
Look What You Made Me Do,Taylor Swift
What Makes You Beautiful,One Direction
Love Yourself,Justin Bieber
rockstar (feat. 21 Savage),Post Malone
Maps,Maroon 5
All The Stars (with SZA),Kendrick Lamar
Love On The Brain,Rihanna
Apocalypse,Cigarettes After Sex
Adore You,Harry Styles
Let Me Love You,DJ Snake
Paradise,Coldplay
Wet Dreamz,J. Cole
Stay With Me,Sam Smith
Lost,Frank Ocean
7 rings,Ariana Grande
Lucid Dreams,Juice WRLD
Pumped Up Kicks,Foster The People
Drip Too Hard (Lil Baby & Gunna),Lil Baby
Shut Up and Dance,WALK THE MOON
Can't Feel My Face,The Weeknd
Uptown Funk (feat. Bruno Mars),Mark Ronson
Beggin',M?neskin
LOVE. FEAT. ZACARI.,Kendrick Lamar
when the party's over,Billie Eilish
Ride,Twenty One Pilots
One Last Time,Ariana Grande
Love The Way You Lie,Eminem
Attention,Charlie Puth
Sign of the Times,Harry Styles
Hymn for the Weekend,Coldplay
Lost in the Fire (feat. The Weeknd),Gesaffelstein
Don't,Bryson Tiller
Redbone,Childish Gambino
Safe And Sound,Capital Cities
