Column1,Column2,Column3
Let's Hear It for the Boy,Deniece Williams,6518d70be846f5f15d1eae18
maybe we need a break,Slchld,6518e851c59c091e00e161bd
너 때문에 미쳐,T-ara,6518e851c59c091e00e161e8
I'm Your Girl,S.E.S.,6518d70be846f5f15d1eb27b
bao tiền một mớ bình yên?,14 Casper,6518e7d4c59c091e00e15806
Không cần phải hứa đâu em,Pham Khanh Hung,6518d70be846f5f15d1eb1eb
Có Đâu Ai Ngờ,Cam,6518e851c59c091e00e16037
Lời Nhắn Của Mưa '2014,The Bao,6518e851c59c091e00e161f6
hai mươi hai (22),Hua Kim Tuyen,6518e851c59c091e00e160be
Heartbreak Anniversary,GIVĒON,6518d70be846f5f15d1eaef7
Thong Song,Sisqó,6518d70be846f5f15d1eb2d9
Sầu Tím Thiệp Hồng,Quang Le,6518e851c59c091e00e16190
Sau Lưng Anh Có Ai Kìa,Thieu Bao Tram,6518e851c59c091e00e16201
Tinh Quay Got,Dan Truong,6518d70be846f5f15d1eae08
At My Worst,Pink Sweat$,6518d70be846f5f15d1eb201
"Attention (Feat. DAWN, BLASÉ)",Gemini,6518e851c59c091e00e1609b
Where the sea sleeps,DAY6 (Even of Day),6518e851c59c091e00e16058
Mãi mãi là một lời nói dối,Khong Tu Quynh,6518e851c59c091e00e160ff
Dù Cho Mai Về Sau,buitruonglinh,6518e851c59c091e00e16031
Mật Ngọt,DungHoangPham,6518e851c59c091e00e16071
Tối Nay Một Mình,Lou Hoang,6518d70be846f5f15d1eb0bd
사랑해 그리고 기억해,god,6518d70be846f5f15d1eaf02
Someone You Loved,Lewis Capaldi,6518d70be846f5f15d1eb08e
Tháng Năm,Soobin Hoàng Sơn,6518e851c59c091e00e161cb
One More Night,Maroon 5,6518d70be846f5f15d1eb10e
Không Yêu Đừng Gây Thương Nhớ,LyLy,6518d70be846f5f15d1eb0db
Yêu Một Người Sao Buồn Đến Thế,Noo Phuoc Thinh,6518d70be846f5f15d1eb1a1
Cơn Mưa Nhỏ Đầu Mùa,Pham Anh Duy,6518e851c59c091e00e16173
Ai Là Người Thương Em,Quan A.P,6518e851c59c091e00e1618b
Yeah! (feat. Lil Jon & Ludacris),Usher,6518d70be846f5f15d1eb404
누난 너무 예뻐 Replay,SHINee,6518e851c59c091e00e161b6
Cả Một Trời Thương Nhớ,Ho Ngoc Ha,6518d70be846f5f15d1eaf57
Gotta Get Back,Pink Sweat$,6518e851c59c091e00e16184
Something Just Like This,Coldplay,6518d70be846f5f15d1eade3
This love (feat. Paul Blanco),Hyolyn,6518d70be846f5f15d1eaf94
Lời Đường Mật (feat. HIEUTHUHAI),LyLy,6518d70be846f5f15d1eb0dc
The Way You Move (feat. Sleepy Brown),Outkast,6518d70be846f5f15d1eb1d3
HEAT,Camo,6518d70be846f5f15d1ead96
Kẻ ở miền xa,Giang Tu,6518d70be846f5f15d1eaeed
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,6518d70be846f5f15d1eb256
Nxde,(G)I-DLE,6518e7d4c59c091e00e15802
Shoong!,TAEYANG,6518d70be846f5f15d1eb32a
Đắp Mộ Cuộc Tình,Đan Nguyên,6518e851c59c091e00e16273
kho báu đánh rơi,Tlinh,6518e851c59c091e00e1620e
Cà Phê,Min,6518e851c59c091e00e16131
Em Về Kẻo Trời Mưa,Le Quyen,6518d70be846f5f15d1eb07f
Thất Tình Thường Xấu Tính (feat. Ricky Star),LyLy,6518d70be846f5f15d1eb0dd
Mùa Thu Lá Bay,Nhu Quynh,6518d70be846f5f15d1eb189
WONDERLAND,TRI.BE,6518e851c59c091e00e16223
Em lại nhớ Anh rồi x TTM Remix VNH,Tuệ Phương,6518e851c59c091e00e16231
Dog Days Are Over,Florence + The Machine,6518d70be846f5f15d1eaec2
Never Knew Love Like This Before,Quinze,6518d70be846f5f15d1eb230
For The Both of Us,Dan + Shay,6518d70be846f5f15d1eaec7
Top or Cliff,KIM SEJEONG,6518d70be846f5f15d1eb051
Ngày Anh Đến,Luu Bich,6518d70be846f5f15d1eb0d8
Sầu Lẻ Bóng,Le Quyen,6518e851c59c091e00e16109
Mơ,Vu Cat Tuong,6518e851c59c091e00e1624d
Diễm Xưa,Kien Trinh,6518d70be846f5f15d1eb04a
NEON BLADE,MoonDeity,6518d70be846f5f15d1eb148
Bản Tin Dự Báo Trời Có Mưa,Jsol,6518e851c59c091e00e160ed
Lâu Lâu Nhắc Lại,Ha Nhi,6518e851c59c091e00e160ac
Chu~♡,F(x),6518e851c59c091e00e1608a
Anh Muốn Em Sống Sao,Minh Tuyet,6518d70be846f5f15d1eb137
Trả Lại Em,Luu Bich,6518d70be846f5f15d1eb0d9
Người Ngoài Phố,Nhu Quynh,6518e851c59c091e00e1615b
Sky's the Limit,Full Intention,6518d70be846f5f15d1eaedc
Tình ka ngọt ngào,Orinn Sped,6518e851c59c091e00e1616f
căn gác mùa hè (sweet summer),Phung Khanh Linh,6518d70be846f5f15d1eb1f0
Uoc Gi,My Tam,6518d70be846f5f15d1eb162
Lúc Em Cần Anh Đang Ở Đâu,Bao Uyen,6518e851c59c091e00e1600e
Cupid – Twin Ver. (feat. Sabrina Carpenter),Fifty Fifty,6518e851c59c091e00e16093
Anh Đã Quen Với Cô Đơn,Soobin Hoàng Sơn,6518e851c59c091e00e161ca
Sau Này Của Chúng Ta,Le Hieu,6518e851c59c091e00e16108
Lady Marmalade,Christina Aguilera,6518d70be846f5f15d1eadcd
LIPMARK,M Naive,6518d70be846f5f15d1eb0e1
Dare to Love (feat. BIG Naughty),B.i,6518d70be846f5f15d1eacfb
Làm Gì Phải Hốt,Hoang Thuy Linh,6518d70be846f5f15d1eaf69
Có Ai Thương Em Như Anh,Toc Tien,6518e851c59c091e00e16214
Còn Tuổi Nào Cho Em,Minh,6518d70be846f5f15d1eb136
Seven (feat. Latto) (Explicit Ver.),Jungkook,6518d70be846f5f15d1eb015
Ice Cream,BLACKPINK,6518d70be846f5f15d1ead4f
"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",Miles Davis/John Coltrane/Red Garland/Paul Chambers/Philly Joe Jones,6518e851c59c091e00e1619f
Từ Khung Cửa Sổ Này,Suni Ha Linh,6518e851c59c091e00e161e2
emconnho ... ???,Hoang Ton,6518e851c59c091e00e160ba
Giữa Đại Lộ Đông Tây,Uyen Linh,6518e851c59c091e00e16243
Buồn Không Thể Buông,Trung Quan,6518d70be846f5f15d1eb3d4
Chạy Về Khóc Với Anh,Erik,6518d70be846f5f15d1eae82
Nguoi Yeu Cu,Khoi My,6518d70be846f5f15d1eb047
